Layer,Name,GEOID,HCSNSP_2020-2021,HCSNSP_2020-2021_moe
,,,"Neighborhood safety rate (% of adults), 2020-2021",(90% margin of error)
Community area,Rogers Park,1,63.219438399,8.355706930816
Community area,Norwood Park,10,92.01992788,5.099395777735
Community area,Jefferson Park,11,87.74209975,8.788206781728501
Community area,Forest Glen,12,98.81927334,1.4627860167095
Community area,North Park,13,90.552582294,5.612550456191
Community area,Albany Park,14,58.87664287,11.8343630239555
Community area,Portage Park,15,74.628610191,9.046294625263
Community area,Irving Park,16,78.180320303,7.5086640195455
Community area,Dunning,17,79.535639738,9.554028351637001
Community area,Montclare,18,75.505675042,14.571861063277002
Community area,Belmont Cragin,19,52.111778347,11.608342882472
Community area,West Ridge,2,75.576634328,8.2555655346045
Community area,Hermosa,20,47.348534255,13.235638713086999
Community area,Avondale,21,77.193328671,9.927030475554501
Community area,Logan Square,22,78.748664507,6.7258224270335
Community area,Humboldt Park,23,36.293937472,14.163987423145
Community area,West Town,24,72.775650368,6.1338602904145
Community area,Austin,25,37.267864697,10.349738922593001
Community area,West Garfield Park,26,8.0165351367,5.296666080013001
Community area,East Garfield Park,27,23.862553784,13.5268278898165
Community area,Near West Side,28,70.928216166,7.7301106686965
Community area,North Lawndale,29,35.371140828,13.465068989249499
Community area,Uptown,3,76.117996479,6.1617376497495
Community area,South Lawndale,30,35.954439704,11.1696741687125
Community area,Lower West Side,31,48.568908786,14.485139214672001
Community area,Loop,32,71.289776094,7.7948380276935
Community area,Near South Side,33,67.200512163,11.599836745227499
Community area,Armour Square,34,62.050958519,12.5114161594695
Community area,Douglas,35,51.440823469,15.011905643028
Community area,Oakland,36,83.055478489,6.822171201062
Community area,Fuller Park,37,25.973703666,14.157992654925001
Community area,Grand Boulevard,38,42.812713386,12.2848277357925
Community area,Kenwood,39,67.417763002,11.845437138787
Community area,Lincoln Square,4,92.398491392,4.7552165637585
Community area,Washington Park,40,31.715279662,14.80620718983
Community area,Hyde Park,41,67.896828668,10.3690517511315
Community area,Woodlawn,42,62.246787696,12.329668236921
Community area,South Shore,43,36.739508462,10.870279734615
Community area,Chatham,44,33.349572268,10.422832640717
Community area,Avalon Park,45,47.566155052,16.4361936776905
Community area,South Chicago,46,36.733839734,13.0828828012155
Community area,Burnside,47,49.294778069,23.768114864024998
Community area,Calumet Heights,48,74.027792579,13.184638699785001
Community area,Roseland,49,45.065314474,12.121228898541
Community area,North Center,5,92.441313542,3.7821894778500003
Community area,Pullman,50,69.590822703,24.2730147058
Community area,South Deering,51,44.606085515,23.349936393805
Community area,East Side,52,44.732837634,19.707453457859998
Community area,West Pullman,53,43.675957584,17.162242040825
Community area,Riverdale,54,43.425108045,24.935295484365
Community area,Hegewisch,55,71.28187525,11.2927960515755
Community area,Garfield Ridge,56,75.578797122,10.270254398551
Community area,Archer Heights,57,60.038769207,14.511225933274
Community area,Brighton Park,58,46.548202051,11.3739596978525
Community area,McKinley Park,59,63.672606167,15.3096058534615
Community area,Lake View,6,89.868872028,3.1710118401045
Community area,Bridgeport,60,70.443311197,12.7777398677355
Community area,New City,61,26.095810115,10.288370269324
Community area,West Elsdon,62,55.611193594,14.5516831364765
Community area,Gage Park,63,39.031651724,12.3112020759
Community area,Clearing,64,62.076911604,12.2218517624
Community area,West Lawn,65,61.792070031,14.294369145686
Community area,Chicago Lawn,66,28.858544027,9.750583610908
Community area,West Englewood,67,38.131763517,12.962743834852
Community area,Englewood,68,27.771179657,14.6667514112315
Community area,Greater Grand Crossing,69,43.528796505,11.718684223407
Community area,Lincoln Park,7,88.197242557,3.6572298891590003
Community area,Ashburn,70,69.48782559,13.098969734746
Community area,Auburn Gresham,71,29.867661866,11.0476206179395
Community area,Beverly,72,86.420442356,6.9913558447285
Community area,Washington Heights,73,42.582377389,12.815569371297
Community area,Mount Greenwood,74,95.644200591,3.1383701577445
Community area,Morgan Park,75,85.179779056,9.230437690677
Community area,O'Hare,76,75.300886448,16.688678939099997
Community area,Edgewater,77,88.728133094,4.0495151574255
Community area,Near North Side,8,72.006755804,4.6733247437555
Community area,Edison Park,9,96.172029349,3.365534462528
