Year/Range,Indicator Count
2020,139
2015-2019,94
2019,150
2014-2018,96
2018,168
2017,225
2016,203
2015,184
2014,175
2013,161
2012,140
2011,158
2010,131
2009,107
2008,87
2007,105
2006,87
2005,103
2004,87
2003,101
2002,87
2001,101
2000,87
2020-2021,52
2021,68
2017-2021,9
2016-2020,39
2013-2017,32
2012-2016,29
2011-2015,34
2010-2014,31
2009-2013,34
2008-2012,31
2007-2011,24
2006-2010,28
2005-2009,17
2004-2008,20
2003-2007,16
2002-2006,13
2001-2005,16
2000-2004,13
1999-2003,16
1998-2002,13
1997-2001,10
1996-2000,13
1995-1999,13
1999,12
1994-1998,17
1998,12
1993-1997,13
1997,12
1992-1996,10
1996,12
1991-1995,13
1995,10
1990-1994,13
1994,10
1989-1993,17
1993,10
1988-1992,13
1992,10
1987-1991,10
1991,10
1986-1990,13
1990,10
1985-1989,10
1989,10
1988,10
1987,10
1986,10
1985,10
2016-2018,2
2015-2017,2
2014-2016,2
2021.11,3
2021.10,3
2021.09,3
2021.08,3
2021.07,3
2021.06,3
2021.05,3
2021.04,3
2021.03,3
2021.02,3
2021.01,3
2020.12,3
2020.11,3
2020.10,3
2020.09,3
2020.08,3
2020.05,1
2020.03,3
2020.02,3
2020.01,3
2019.12,3
2019.11,3
2019.10,3
2019.09,3
2019.08,3
2019.07,3
2019.06,3
2019.05,3
2019.04,3
2019.03,3
2019.02,3
2019.01,3
2018.12,3
2018.11,3
2018.10,3
2018.09,3
2018.08,3
2018.07,3
2018.06,3
2018.05,3
2018.04,3
2018.03,3
2018.02,3
2018.01,3
