Layer,Name,GEOID,SVI_2018,SVI_2018_moe
,,,"Social Vulnerability Index (percentile), 2018",(90% margin of error)
Community area,Rogers Park,1,74.252711166267,
Community area,Norwood Park,10,28.1600046000414,
Community area,Jefferson Park,11,41.0611729629026,
Community area,Forest Glen,12,17.5502845745532,
Community area,North Park,13,64.7551349467543,
Community area,Albany Park,14,61.492323868591,
Community area,Portage Park,15,52.5132651367349,
Community area,Irving Park,16,41.9567551135102,
Community area,Dunning,17,43.8650709381922,
Community area,Montclare,18,76.704316591583,
Community area,Belmont Cragin,19,78.2913567213568,
Community area,West Ridge,2,77.192914485829,
Community area,Hermosa,20,77.9677935233806,
Community area,Avondale,21,55.5239313775197,
Community area,Logan Square,22,35.4628671057342,
Community area,Humboldt Park,23,90.5509376437506,
Community area,West Town,24,23.8224898723683,
Community area,Austin,25,83.3038853171972,
Community area,West Garfield Park,26,92.31839069,
Community area,East Garfield Park,27,90.9938821059958,
Community area,Near West Side,28,55.2185297855894,
Community area,North Lawndale,29,85.8065083120665,
Community area,Uptown,3,50.7883209616048,
Community area,South Lawndale,30,82.9074676346764,
Community area,Lower West Side,31,69.8385621685622,
Community area,Loop,32,27.5331251488223,
Community area,Near South Side,33,24.6336169144677,
Community area,Armour Square,34,90.232703004594,
Community area,Douglas,35,64.7963041876047,
Community area,Oakland,36,80.1654803676859,
Community area,Fuller Park,37,85.1078130644461,
Community area,Grand Boulevard,38,75.2251269567909,
Community area,Kenwood,39,49.96983606,
Community area,Lincoln Square,4,29.9528047328047,
Community area,Washington Park,40,87.3867978855641,
Community area,Hyde Park,41,44.7369801830198,
Community area,Woodlawn,42,85.9175850130951,
Community area,South Shore,43,81.3014022342067,
Community area,Chatham,44,71.4128855677113,
Community area,Avalon Park,45,69.395536997685,
Community area,South Chicago,46,83.7288543511457,
Community area,Burnside,47,81.7719519673276,
Community area,Calumet Heights,48,62.7081731376957,
Community area,Roseland,49,74.9368931399011,
Community area,North Center,5,14.7381225118775,
Community area,Pullman,50,66.6888829653186,
Community area,South Deering,51,90.8209999179985,
Community area,East Side,52,79.2295112340954,
Community area,West Pullman,53,77.2863589381536,
Community area,Riverdale,54,86.5878637407737,
Community area,Hegewisch,55,53.9618240680779,
Community area,Garfield Ridge,56,52.6270953515922,
Community area,Archer Heights,57,73.835143975144,
Community area,Brighton Park,58,79.5440428482999,
Community area,McKinley Park,59,73.5175734271259,
Community area,Lake View,6,11.9431300768699,
Community area,Bridgeport,60,59.3649007747023,
Community area,New City,61,80.1212376111385,
Community area,West Elsdon,62,72.87559372,
Community area,Gage Park,63,85.8640927968352,
Community area,Clearing,64,52.7176134939445,
Community area,West Lawn,65,76.825068750275,
Community area,Chicago Lawn,66,85.4336211763788,
Community area,West Englewood,67,85.9595112716916,
Community area,Englewood,68,93.2367609067609,
Community area,Greater Grand Crossing,69,81.7880400604006,
Community area,Lincoln Park,7,16.2734496324423,
Community area,Ashburn,70,57.717073193903,
Community area,Auburn Gresham,71,74.25011393,
Community area,Beverly,72,11.8510819583933,
Community area,Washington Heights,73,63.8829353110943,
Community area,Mount Greenwood,74,15.0671772320129,
Community area,Morgan Park,75,57.4850447001788,
Community area,O'Hare,76,57.4095078595596,
Community area,Edgewater,77,46.5277661622338,
Community area,Near North Side,8,21.21524105,
Community area,Edison Park,9,5.10661807501455,
